Fecha,Producto,Cantidad,Precio_Unitario,Venta_Total,Ganancia,Inventario
2026-01-09 00:00:00,Cámara Web,5,80,400,175,59
2026-01-07 00:00:00,Lapt,3,1200,3600,1200,95
2026-01-13 00:00:00,mooouse,7,25,175,105,53
2026-01-12 00:00:00,Teclado,5,50,250,125,25
2026-01-08 00:00:00,Cámara Web,4,80,320,140,11
2026-01-13 00:00:00,Cámara W,7,80,560,245,55
2026-01-09 00:00:00,Monitor,2,300,600,240,90
2026-01-01 00:00:00,Mouse,6,25,150,90,92
2026-01-09 00:00:00,Monutor,2,300,600,240,11
2026-01-04 00:00:00,Cámara Web,1,80,80,35,11
2026-01-08 00:00:00,Teclado,3,50,150,75,11
2026-01-04 00:00:00,Teclado,10,50,500,250,18
2026-01-05 00:00:00,Mouse,10,25,250,150,78
2026-01-11 00:00:00,Laptop,8,1200,9600,3200,64
2026-01-05 00:00:00,Monitor,9,300,2700,1080,25
2026-01-01 00:00:00,Laptop,6,1200,7200,2400,68
2026-01-07 00:00:00,Cámara Web,1,80,80,35,52
2026-01-07 00:00:00,Cámara Web,10,80,800,350,98
2026-01-06 00:00:00,Cámara Web,10,80,800,350,63
2026-01-08 00:00:00,Teclado,7,50,350,175,62
2026-01-06 00:00:00,Laptop,6,1200,7200,2400,48
2026-01-06 00:00:00,Laptop,6,1200,7200,2400,35
2026-01-08 00:00:00,Teclado,7,50,350,175,31
2026-01-13 00:00:00,Teclado,9,50,450,225,28
2026-01-07 00:00:00,Cámara Web,4,80,320,140,74
2026-01-14 00:00:00,Monitor,5,300,1500,600,42
2026-01-02 00:00:00,Laptop,6,1200,7200,2400,53
2026-01-14 00:00:00,Laptop,10,1200,12000,4000,55
2026-01-13 00:00:00,Cámara Web,5,80,400,175,16
2026-01-06 00:00:00,Teclado,9,50,450,225,43
2026-01-02 00:00:00,Laptop,8,1200,9600,3200,24
2026-01-08 00:00:00,Laptop,8,1200,9600,3200,11
2026-01-08 00:00:00,Teclado,7,50,350,175,81
2026-01-09 00:00:00,Cámara Web,5,80,400,175,58
2026-01-15 00:00:00,Monitor,9,300,2700,1080,9
2026-01-09 00:00:00,Monitor,4,300,1200,480,6
2026-01-05 00:00:00,Monitor,2,300,600,240,22
2026-01-01 00:00:00,Laptop,5,1200,6000,2000,14
2026-01-04 00:00:00,Laptop,4,1200,4800,1600,99
2026-01-14 00:00:00,Laptop,7,1200,8400,2800,80
2026-01-12 00:00:00,Laptop,10,1200,12000,4000,99
2026-01-09 00:00:00,Cámara Web,1,80,80,35,88
2026-01-08 00:00:00,Monitor,9,300,2700,1080,33
2026-01-14 00:00:00,Mouse,4,25,100,60,39
2026-01-08 00:00:00,Teclado,8,50,400,200,57
2026-01-04 00:00:00,Teclado,8,50,400,200,50
2026-01-10 00:00:00,Cámara Web,3,80,240,105,70
2026-01-15 00:00:00,Teclado,10,50,500,250,63
2026-01-07 00:00:00,Cámara Web,9,80,720,315,42
2026-01-09 00:00:00,Cámara Web,5,80,400,175,23
2026-01-01 00:00:00,Cámara Web,4,80,320,140,16
2026-01-15 00:00:00,Teclado,8,50,400,200,29
2026-01-12 00:00:00,Cámara Web,10,80,800,350,96
2026-01-13 00:00:00,Cámara Web,4,80,320,140,84
2026-01-15 00:00:00,Teclado,4,50,200,100,99
2026-01-11 00:00:00,Teclado,7,50,350,175,71
2026-01-06 00:00:00,Cámara Web,1,80,80,35,13
2026-01-12 00:00:00,Teclado,2,50,100,50,16
2026-01-02 00:00:00,Mouse,3,25,75,45,16
2026-01-01 00:00:00,Cámara Web,6,80,480,210,35
2026-01-11 00:00:00,Monitor,4,300,1200,480,60
2026-01-10 00:00:00,Cámara Web,7,80,560,245,82
2026-01-11 00:00:00,Laptop,3,1200,3600,1200,19
2026-01-06 00:00:00,Laptop,9,1200,10800,3600,79
2026-01-03 00:00:00,Cámara Web,8,80,640,280,89
2026-01-10 00:00:00,Laptop,8,1200,9600,3200,92
2026-01-02 00:00:00,Monitor,9,300,2700,1080,40
2026-01-04 00:00:00,Cámara Web,1,80,80,35,47
2026-01-15 00:00:00,Teclado,3,50,150,75,73
2026-01-07 00:00:00,Cámara Web,7,80,560,245,76
2026-01-15 00:00:00,Cámara Web,9,80,720,315,71
2026-01-12 00:00:00,Teclado,6,50,300,150,83
2026-01-04 00:00:00,Cámara Web,7,80,560,245,10
2026-01-03 00:00:00,Teclado,6,50,300,150,100
2026-01-12 00:00:00,Monitor,6,300,1800,720,75
2026-01-02 00:00:00,Teclado,5,50,250,125,20
2026-01-02 00:00:00,Laptop,1,1200,1200,400,35
2026-01-15 00:00:00,Teclado,1,50,50,25,13
2026-01-12 00:00:00,Mouse,1,25,25,15,10
2026-01-11 00:00:00,Cámara Web,1,80,80,35,6
2026-01-15 00:00:00,Monitor,10,300,3000,1200,38
2026-01-02 00:00:00,Monitor,6,300,1800,720,77
2026-01-03 00:00:00,Teclado,4,50,200,100,36
2026-01-02 00:00:00,Monitor,2,300,600,240,26
2026-01-04 00:00:00,Mouse,4,25,100,60,12
2026-01-03 00:00:00,Cámara Web,2,80,160,70,65
2026-01-07 00:00:00,Teclado,3,50,150,75,26
2026-01-03 00:00:00,Teclado,5,50,250,125,92
2026-01-15 00:00:00,Laptop,8,1200,9600,3200,92
2026-01-14 00:00:00,Cámara Web,1,80,80,35,42
2026-01-01 00:00:00,Laptop,1,1200,1200,400,42
2026-01-05 00:00:00,Laptop,3,1200,3600,1200,64
2026-01-02 00:00:00,Mouse,9,25,225,135,46
2026-01-12 00:00:00,Mouse,6,25,150,90,25
2026-01-09 00:00:00,Monitor,5,300,1500,600,11
2026-01-02 00:00:00,Cámara Web,8,80,640,280,46
2026-01-01 00:00:00,Teclado,1,50,50,25,80
2026-01-03 00:00:00,Mouse,8,25,200,120,37
2026-01-09 00:00:00,Laptop,4,1200,4800,1600,52
2026-01-10 00:00:00,Teclado,2,50,100,50,84
2026-01-15 00:00:00,Teclado,10,50,500,250,37
